yt_id;q_id;videoname
uh7BW2BVW9g;Q19913277;The Renaissance in Spain, The Morata Master
mdd7LhVx00o;Q977200;Death and salvation in renaissance Florence: Masaccio, The Holy Trinity
B06PK4yZwvY;Q12418;Leonardo, The Mona Lisa ? in the Renaissance and today
hgMqBYJ1WPI;Q642198;Persian carpets, a peacock, and a cucumber, understanding Crivelli's Annunciation
1LrHCPUeACE;Q20198066;Blythe, Justice (reposted with minor correction)
5oUfPT8LJxI;Q20198057;Face to face with voters: Bingham's Country Politician
HLdKWno6YCs;Q20812911;Hicks' The Peaceable Kingdom as Pennsylvania parable
K6PBfbkMzFU;Q151047;A celebration of beauty and love: Botticelli's Birth of Venus
BjlOZ2a8RGM;Q20441240;Hetch Hetchy, Yosemite and the battle for National Parks (Bierstadt)
in6iDVnTw-k;Q848790;The Dying Gaul and the Ludovisi Gaul
3npb3UZ0b9o;Q5189814;Rogier van der Weyden, The Crucifixion, with the Virgin and Saint John the Evangelist Mourning
QKfmTQi2Yq0;Q2352789;Bernini, Pluto and Proserpina
PVmczLwlU00;Q2366825;The Hay Wain, Constable and the English countryside
MVHfVB4MaWE;Q17491014;A summer day in Paris: Berthe Morisot's Hunting Butterflies
GRTsMJNcHFw;Q42934;Pablo Picasso and the new language of Cubism
GRTsMJNcHFw;Q5593;Pablo Picasso and the new language of Cubism
o6amlRsb1n4;Q683274;Renoir, Bal du moulin de la Galette
tWjnbh5Z9Vg;Q296;How to recognize Monet: The Basin at Argenteuil
69zJ3UDh5Tw;Q39931;How to recognize Renoir: The Swing
69zJ3UDh5Tw;Q1118456;How to recognize Renoir: The Swing
fpnIGUds1FQ;Q2270028;Painting modern life: Monet's Gare Saint-Lazare
4xFs8F7B2E4;Q369582;Masaccio, The Virgin and Child
CWo2pmUk3RU;Q29383022;John Quincy Adams Ward, The Freedman
y5iMAMU53Ns;Q19900692;Thomas Cole: America's first environmentalist artist
8kfrFEiGGzg;Q20268685;When the department store was new: Elizabeth Sparhawk-Jones, The Shoe Shop, c. 1911
iFHIL6rZnj0;Q1167178;Courbet, The Painter's Studio
-yxSjUvh0g8;Q969377;A moment of spiritual awakening: Caravaggio's Calling of Saint Matthew
5khYppm7m-k;Q11802629;The conservator's eye: Madame C‚zanne in the Conservatory
pws5E8QPxak;Q2404992;The conservator?s eye: Rembrandt's Aristotle with a Bust of Homer
iHuewgZR17s;Q1245354;Manet, A Bar at the Folies-BergŠre
HNZTmnngqrM;Q540488;Courbet, A Burial at Ornans, 1849-50
KI24PVRdSRY;Q28797689;Nazi looting: Egon Schiele's Portrait of Wally
KI24PVRdSRY;Q44032;Nazi looting: Egon Schiele's Portrait of Wally
qfAga9DAuU4;Q476458;David, Oath of the Horatii
6skizQlC-uU;Q29530;Delacroix, Liberty Leading the People
xPXt8a5tpSE;Q19913261;The conservator's eye: Taddeo Gaddi, Saint Julian
kboppTV-SqM;Q19273424;Vig‚e Le Brun, Self-Portrait with her Daughter, Julie
jlVBaqyGKMs;Q212616;Gericault, Raft of the Medusa
na05-xCZR8s;Q5966403;Morisot, The Cradle
JftEcBnopPI;Q2273517;Caravaggio, The Conversion of St. Paul (or The Conversion of Saul)
3xBGF8H3bQ4;Q152509;Manet, Le D‚jeuner sur l'herbe
VbJBulu1X0Y;Q18683381;Baltasar de Echave Ib¡a, The Hermits
6YiL9MNyGKE;Q4692;How to recognize Italian Renaissance art
6YiL9MNyGKE;Q2914470;6YiL9MNyGKE
EFHPAbHaoqk;Q37853;How to recognize Baroque art
EFHPAbHaoqk;Q37853;How to recognize Baroque art
igTCJ7TCrOo;Q1169199;Rogier van der Weyden, Last Judgment
5P3ap3rDmx4;Q17319913;Willem Kalf, Still Life with a Silver Ewer
nOcxg0Khads;Q18668617;Francis Guy, Winter Scene in Brooklyn
DWHJx0kFQCo;Q17436671;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436673;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436674;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436675;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436676;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436678;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436681;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436682;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436685;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436686;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436687;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436689;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436692;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436693;Monet, Rouen Cathedral Series
DWHJx0kFQCo;Q17436694;Monet, Rouen Cathedral Series
feCG2zfzflo;Q1167907;Renoir, Luncheon of the Boating Party
L7P3kBJ3scg;Q17275831;Ruisdael, View of Haarlem with Bleaching Grounds
RQ0855yB2ZM;Q3172259;Thomas Cole, The Oxbow
DhefUahS55o;Q661378;Rembrandt, The Anatomy Lesson of Dr. Tulp
M-jLsoA1i_o;Q185372;Johannes Vermeer, Girl with a Pearl Earring
